cholesterol,diabetes,smoking,obesity,inactive,lesshighschool,gini,poverty,asian,black,age65,hisp,male,marri,racialseg,socialvul,large central metro,large fringe metro,medium/small metro,nonmetro,outpatientcost
37,11.4,19.4,32.7,30.2,11.5,0.454,12.1,1,19,15,2.8,48.634888,55.319672,0.31999999,0.43540001,0,0,1,0,4103
40.1,8.2,17.5,30.1,23.5,9.2,0.459,10.1,0.9,9.1,20,4.5,48.628483,54.54665,0.40000001,0.21619999,0,0,1,0,2817
41.1,15.1,24.5,41.2,26.7,26.8,0.488,27.1,0.4,47.4,18.6,4.3,52.919838,44.529758,0.44,0.99589998,0,0,0,1,3186
38.5,12.2,22.7,37.4,33.1,20.9,0.449,20.3,0.1,22.1,15.9,2.5,54.016804,42.715248,0.47,0.60030001,0,1,0,0,3459
40.8,12.2,22.1,32.5,32.6,19.5,0.457,16.3,0.4,1.5,17.9,9.2,49.401016,58.871849,0.43000001,0.4242,0,1,0,0,3272
39.2,27.9,24.4,46.4,42.3,25.3,0.473,30,0.4,74.8,16,2.5,54.361828,38.830162,0.54000002,0.88980001,0,0,0,1,2927
41.1,17,21.4,47.3,38.9,15,0.462,21.6,0.3,45,19.7,1.3,45.79887,44.784973,0.5,0.8653,0,0,0,1,4319
40.3,15.2,20.4,39.7,30,15.6,0.463,17.2,0.8,20.6,17.2,3.7,48.108501,50.62923,0.41,0.82520002,0,0,1,0,2824
40.6,15.6,22,42,27.5,18.4,0.423,19.6,1.1,39.5,19.2,2.3,47.798573,46.69017,0.44,0.73820001,0,0,0,1,3148
42.8,12,21.8,38.1,27.7,18.4,0.452,15.9,0.2,4.5,22.4,1.5,49.326332,60.175446,0.49000001,0.45159999,0,0,0,1,2569
41.6,16.8,22.8,42.1,31.9,18.2,0.472,16,0.4,9.1,16,7.8,48.709568,52.851978,0.46000001,0.76020002,0,1,0,0,2489
42.3,13.9,21.4,46.7,32,18.6,0.469,22.6,0.1,42.5,22.6,0.4,47.543522,50.854977,0.58999997,0.87480003,0,0,0,1,4425
41.3,22.5,22.8,36.1,40,19.4,0.516,18.4,0.4,45.7,19.4,0.3,47.260445,48.776314,0.49000001,0.84710002,0,0,0,1,2891
42.3,14.2,23.6,37.1,32.3,23.3,0.462,16.6,0.1,15.5,20.2,3.1,48.271725,57.111717,0.56,0.56400001,0,0,0,1,3836
41.2,12.1,22.9,34,24.9,21,0.457,13.3,0,2.7,19.4,2.4,49.001072,58.801682,0.5,0.54170001,0,0,0,1,2879
38.6,13.9,20.7,36.6,30.5,14.1,0.433,15,1.4,16.8,16.5,7.2,49.318649,55.298084,0.37,0.54079998,0,0,0,1,2563
41.1,14,20.8,36.5,33,14.8,0.447,14.6,0.5,16,19.4,2.8,47.988899,53.930126,0.44999999,0.42739999,0,0,1,0,2549
43.4,20.9,23.8,42.5,40.1,15.7,0.43,22.2,0.4,47.7,22.2,0.6,49.03986,44.009758,0.52999997,0.80860001,0,0,0,1,2870
42.9,23.1,22.9,44.6,34.1,20,0.452,17.1,0,33.6,22.6,1,50.776237,50.441429,0.56999999,0.52609998,0,0,0,1,3890
41,13.5,21.9,35.9,34.3,16.6,0.46,17.2,0.4,13.3,20.8,1.6,48.349461,53.219772,0.50999999,0.7723,0,0,0,1,3124
40.6,18.2,22,35.1,33.4,20.8,0.492,16.8,1.3,23.1,18.8,0.7,48.743137,49.534946,0.47,0.68730003,0,0,0,1,3301
40.7,13.3,21.7,35.6,33,18.4,0.442,12.2,0.3,1.2,18.2,4.3,49.194355,55.856873,0.43000001,0.51819998,0,0,0,1,2616
36.6,14.2,20.8,41.8,30.7,13.9,0.448,18.1,1.2,19.7,16.4,6.5,49.315098,51.612255,0.30000001,0.75989997,0,0,0,1,2916
39.1,14.8,23.7,42.8,31.4,18.2,0.469,26,0.5,70.4,17.4,1,46.077805,41.977352,0.51999998,0.949,0,0,0,1,2784
41.7,14.3,24.3,30.3,32.3,25.2,0.472,18.2,0.3,1.4,16.7,14.5,49.527416,55.429596,0.51999998,0.80220002,0,0,0,1,2922
37.5,13.9,19.1,34.9,23.7,13.4,0.441,11.4,0.5,21.2,14.9,2.9,48.341221,53.625706,0.34,0.54009998,0,0,1,0,3645
39.5,17,24.6,36.4,32.1,18.9,0.482,20.5,0.4,31.9,17.7,2.3,50.883774,43.939194,0.50999999,0.85570002,0,0,0,1,3694
41.8,14.8,22.1,35.9,32,15.4,0.459,18.8,0.7,15.4,18.7,3.8,48.238407,49.164341,0.50999999,0.65640002,0,0,1,0,2690
42.5,17.9,22.7,37.8,27.9,17.4,0.461,17,0.5,11.1,20.8,1.8,49.339153,60.033752,0.5,0.70380002,0,0,0,1,3757
40.2,12.8,22,36.6,36,22.8,0.428,16.1,0.3,4.2,16.9,17.1,49.818851,51.509686,0.47,0.84170002,0,0,0,1,3022
42.2,17.1,23.8,41.5,39.1,19.7,0.44,16.1,0.4,9.4,20,3.9,48.586136,53.830868,0.49000001,0.79549998,0,0,1,0,2478
42.6,18,24.7,38,22.6,20.8,0.512,31.7,0,79.4,21.3,1.7,46.203747,33.943871,0.54000002,0.98540002,0,0,0,1,3672
41.1,15.2,22.6,45.5,30.5,16,0.499,20.5,0.2,59.3,18.8,0,47.504894,43.580742,0.49000001,0.95990002,0,0,1,0,3226
42.3,13.1,21.5,34.7,27.4,20.6,0.441,17.2,0.4,26.5,22.1,2.6,48.55542,56.634487,0.49000001,0.55190003,0,0,1,0,3139
38.6,14.4,21.6,38.5,31.2,14,0.483,19.4,0.9,26.7,17.2,3.3,47.936047,48.371784,0.41999999,0.68379998,0,0,1,0,2709
41.7,13.3,22.6,35.3,32.6,16.8,0.452,14.7,0.5,3.4,19.5,2.9,48.948933,57.213791,0.41999999,0.57260001,0,0,0,1,2983
35.7,11.5,18,34.4,28.4,9.9,0.501,16.2,1.5,42.8,15.4,3.8,47.300659,46.060219,0.54000002,0.66210002,1,0,0,0,2854
43.2,19.3,22.6,34.5,29.2,17.7,0.472,15.3,0.1,10.6,21.5,1.6,48.85128,58.361897,0.49000001,0.62639999,0,0,0,1,3462
39.8,12.7,18.4,32.5,25.6,12.6,0.46,15.7,0.7,10.1,19.7,2.6,48.15247,53.631897,0.41,0.44679999,0,0,1,0,2125
41,20.5,23.2,32.5,28.8,20.7,0.441,17.7,0.2,10.5,18.1,2.1,48.263657,56.975586,0.46000001,0.49520001,0,0,1,0,2497
34.1,10.6,18.5,30.8,20.2,9.1,0.503,15.5,4.1,22.7,11.6,3.6,49.303143,46.051498,0.31999999,0.6602,0,0,1,0,3337
38.4,11.2,20.2,32.6,25.3,15.3,0.445,12,1.4,13.5,15.1,6,49.923466,53.118568,0.37,0.52960002,0,0,1,0,3110
41.2,14.2,25,43.4,31.4,21.7,0.506,26.6,0,74.3,18.4,0.4,47.832127,40.104546,0.55000001,0.9188,0,0,1,0,2552
37.4,14.5,20.1,51,31.6,18.2,0.51,29.3,0.1,82.5,19.3,0.8,45.93222,35.028038,0.55000001,0.89709997,0,0,0,1,3413
34.3,11.9,16.7,33.5,23.7,8.3,0.462,11.5,2.7,24,14.7,4.9,48.839836,52.377357,0.34999999,0.30759999,0,0,1,0,2813
40.1,15.5,21.7,45.2,31.8,16.2,0.55,24.8,0,53.5,19.3,1,48.128979,41.645966,0.55000001,0.76209998,0,0,0,1,2892
42.2,16.8,22.6,38.7,31.9,20.4,0.459,16.9,0.1,3.4,21.1,2.6,49.491058,55.06398,0.46000001,0.671,0,0,0,1,3692
40.2,10,22.2,36.8,36.1,18.4,0.471,15.7,0.6,2.6,16.8,13.9,49.381554,54.804825,0.44,0.72610003,0,0,0,1,3665
36.8,13.3,20.2,38,27.6,13.5,0.476,17.7,1.9,35.5,15.8,2.9,47.660065,46.207409,0.46000001,0.75319999,0,0,1,0,2335
41.8,19.9,23.8,43,34.7,14.4,0.55,23.3,0.3,42.3,19.3,0.3,47.766808,45.389866,0.51999998,0.74809998,0,0,0,1,3383
36,15.2,19.4,37.1,28.8,13.3,0.493,15.8,2.8,57.7,14.6,3.5,47.17041,41.926208,0.41,0.8427,0,0,1,0,3789
39.6,10.4,20.1,35.2,26.2,15.9,0.453,13.7,0.6,12.6,17.1,8.3,49.24966,53.786064,0.44,0.68949997,0,0,1,0,2266
41.7,18,24.6,47,34.9,17.2,0.494,33.9,0,69.3,19.1,1.1,45.873238,22.653301,0.55000001,0.99489999,0,0,0,1,3381
39.9,16.8,22.6,38.8,25.2,18.5,0.491,24.3,0.1,39.8,18.5,4.8,47.606579,48.903561,0.56,0.92070001,0,0,1,0,3019
34.3,14.2,19.4,38.6,28,15,0.537,21.8,2.2,36.5,14.8,2.2,47.940479,36.569359,0.40000001,0.9016,0,0,0,1,3127
